Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
RN ten Doeschate (NL),2008-2019,22,22,10,533,59,44.41,400,133.25,0,3,1,27,19
C Kieswetter (ENG),2010-2012,25,25,1,526,63,21.91,470,111.91,0,3,2,47,23
RR Patel (KENYA),2008-2019,30,26,4,526,55,23.9,414,127.05,0,3,1,31,31
Hazratullah Zazai (AFG),2016-2019,13,13,1,519,162*,43.25,319,162.69,1,2,1,46,37
F Behardien (SA),2012-2018,38,30,14,518,64*,32.37,404,128.21,0,1,1,37,16
V Sibanda (ZIM),2007-2016,26,26,1,511,59,20.44,503,101.59,0,1,3,52,11
Noor Ali Zadran (AFG),2010-2017,20,20,1,506,63,26.63,497,101.81,0,3,1,45,6
Nawroz Mangal (AFG),2010-2017,32,32,4,505,65*,18.03,453,111.47,0,2,4,42,19
Imran Nazir (PAK),2007-2012,25,24,1,500,72,21.73,370,135.13,0,3,2,59,22
Liton Das (BDESH),2015-2019,25,25,0,497,61,19.88,360,138.05,0,2,2,44,22
Shafiqullah (AFG),2010-2019,46,42,12,494,51*,16.46,340,145.29,0,1,5,35,31
MJ Clarke (AUS),2005-2010,34,28,5,488,67,21.21,473,103.17,0,1,2,29,10
CJ Anderson (NZ),2012-2018,31,24,4,485,94*,24.25,351,138.17,0,2,3,30,26
G Malla (NEPAL),2014-2019,24,23,0,482,107,20.95,389,123.9,1,1,1,46,21
C de Grandhomme (NZ),2012-2019,33,31,7,479,59,19.95,321,149.22,0,3,3,27,29
TP Visee (NL),2015-2019,27,27,0,478,78,17.7,316,151.26,0,3,4,65,17
MS Chapman (HKG/NZ),2014-2018,24,23,2,475,63*,22.61,416,114.18,0,1,0,38,13
JDP Oram (NZ),2005-2012,36,30,7,474,66*,20.6,339,139.82,0,2,3,38,22
GJ Bailey (AUS/World),2012-2017,30,26,7,473,63,24.89,346,136.7,0,2,1,37,20
BKG Mendis (SL),2016-2019,24,24,0,473,79,19.7,353,133.99,0,5,2,40,21
Gulbadin Naib (AFG),2012-2019,45,37,10,472,56*,17.48,393,120.1,0,1,3,33,22
NJ O'Brien (IRE),2008-2016,30,28,2,466,50,17.92,475,98.1,0,1,0,40,7
AD Russell (WI),2011-2018,47,39,13,465,47,17.88,329,141.33,0,0,6,30,32
PM Seelaar (NL),2008-2019,69,40,11,464,96*,16,423,109.69,0,1,1,31,8
JEC Franklin (NZ),2006-2013,38,31,8,463,60,20.13,391,118.41,0,2,2,28,23
CR Ervine (ZIM),2010-2019,22,21,1,461,68*,23.05,454,101.54,0,3,1,43,13
A Vala (PNG),2015-2019,26,24,4,460,68,23,427,107.72,0,2,0,39,13
DJ Malan (ENG),2017-2019,9,9,1,458,103*,57.25,293,156.31,1,5,0,47,20
JD Ryder (NZ),2008-2014,22,21,1,457,62,22.85,358,127.65,0,3,2,47,18
RE van der Merwe (NL/SA),2009-2019,43,29,12,454,75*,26.7,345,131.59,0,2,4,36,13
Khawar Ali (OMAN),2015-2019,29,28,0,453,50,16.17,482,93.98,0,1,2,48,12
MD Gunathilaka (SL),2016-2019,21,21,0,452,57,21.52,365,123.83,0,2,0,49,12
Mohammad Ashraful (BDESH),2007-2013,23,23,0,450,65,19.56,356,126.4,0,2,2,48,11
Rameez Shahzad (UAE),2016-2019,22,21,3,449,54,24.94,404,111.13,0,1,2,37,13
Usman Ghani (AFG),2015-2019,19,19,1,445,73,24.72,407,109.33,0,3,0,44,12
Younis Khan (PAK),2006-2010,25,23,3,442,51,22.1,364,121.42,0,2,2,31,12
NR Kumar (CAN),2012-2019,18,16,2,434,83,31,336,129.16,0,3,1,34,13
MD Shanaka (SL),2015-2019,35,35,7,434,54,15.5,386,112.43,0,1,7,29,24
N Dickwella (SL),2016-2019,23,22,0,429,68,19.5,309,138.83,0,1,2,57,8
Muhammad Tanveer (QAT),2019-2019,15,15,4,428,57*,38.9,331,129.3,0,4,0,36,22
PL Mommsen (SCOT),2012-2016,24,19,7,419,68*,34.91,329,127.35,0,2,1,32,11
Syed Aziz (MAL),2019-2019,14,14,2,415,87,34.58,297,139.73,0,4,2,43,16
RR Pant (INDIA),2017-2019,26,24,4,409,65*,20.45,336,121.72,0,2,3,28,18
Aqib Ilyas (OMAN),2015-2019,22,22,4,408,60,22.66,356,114.6,0,2,1,47,7
TH David (SGP),2019-2019,12,12,1,408,77,37.09,274,148.9,0,2,0,36,17
MG Erasmus (NAM),2019-2019,16,14,3,407,72,37,293,138.9,0,4,0,33,20
MW Machan (SCOT),2013-2016,13,13,3,407,67*,40.7,318,127.98,0,3,0,37,7
WU Tharanga (SL),2006-2018,26,26,1,407,47,16.28,330,123.33,0,0,3,42,12
Sikandar Raza (ZIM),2013-2019,32,30,0,406,59,13.53,384,105.72,0,1,0,34,8
EC Joyce (ENG/IRE),2006-2014,18,15,3,405,78*,33.75,431,93.96,0,1,0,30,5
TLW Cooper (NL),2012-2016,18,17,3,404,72*,28.85,306,132.02,0,2,2,38,16
BJ Haddin (AUS),2006-2014,34,29,6,402,47,17.47,351,114.52,0,0,2,30,13
RT Ponting (AUS),2005-2009,17,16,2,401,98*,28.64,302,132.78,0,2,2,41,11
HH Gibbs (SA),2005-2010,23,23,1,400,90*,18.18,318,125.78,0,3,4,45,12
KD Karthik (ICC/INDIA),2006-2019,32,26,14,399,48,33.25,278,143.52,0,0,2,42,15
V Sehwag (INDIA),2006-2012,19,18,0,394,68,21.88,271,145.38,0,2,1,43,16
Abdul Razzaq (PAK),2006-2013,32,29,10,393,46*,20.68,337,116.61,0,0,2,21,21
Rizwan Cheema (CAN),2008-2019,24,24,2,389,72,17.68,314,123.88,0,2,5,33,28
SJ Baard (NAM),2019-2019,13,13,2,387,92,35.18,305,126.88,0,4,1,32,13
AA Obanda (KENYA),2007-2019,30,28,2,381,79,14.65,362,105.24,0,1,5,49,7
CJA Amini (PNG),2015-2019,23,18,4,377,60,26.92,324,116.35,0,2,2,16,13
Mashrafe Mortaza (BDESH),2006-2017,54,39,11,377,36,13.46,277,136.1,0,0,6,28,23
AM Rahane (INDIA),2011-2016,20,20,2,375,61,20.83,331,113.29,0,1,2,32,6
J Rasu (VAN),2019-2019,13,13,0,374,74,28.76,338,110.65,0,2,0,27,16
Hussain Talat (PAK),2018-2019,14,14,1,371,63,28.53,309,120.06,0,2,1,35,5
Nasir Hossain (BDESH),2011-2016,31,24,4,370,50*,18.5,326,113.49,0,2,2,30,7
JW Jenner (JER),2019-2019,17,17,2,365,71,24.33,299,122.07,0,3,2,24,14
PJ Moor (ZIM),2016-2019,21,19,4,364,92*,24.26,286,127.27,0,1,0,22,24
Nasir Jamshed (PAK),2012-2013,18,18,1,363,56,21.35,320,113.43,0,2,1,34,12
NS Dhaliwal (CAN),2019-2019,12,11,2,361,69,40.11,291,124.05,0,3,0,22,16
Sharjeel Khan (PAK),2013-2016,15,15,0,360,59,24,262,137.4,0,2,0,48,13
L Ronchi (AUS/ICC/NZ),2008-2018,33,26,6,359,51*,17.95,256,140.23,0,1,5,30,14
R Sandaruwan (KUW),2019-2019,10,10,1,358,103,39.77,216,165.74,1,2,2,29,24
S Bau (PNG),2016-2019,23,17,3,356,40*,25.42,338,105.32,0,0,1,21,11
Anamul Haque (BDESH),2012-2015,13,13,2,355,58,32.27,301,117.94,0,1,1,38,12
KD Shah (HKG),2014-2019,26,22,3,351,79,18.47,340,103.23,0,2,3,26,10
SW Billings (ENG/ICC),2015-2019,26,23,3,348,87,17.4,255,136.47,0,2,1,33,11
S Chandramohan (SGP),2019-2019,12,12,1,348,66,31.63,292,119.17,0,3,3,33,15
OA Shah (ENG),2007-2009,17,15,1,347,55*,24.78,284,122.18,0,1,0,26,13
SO Tikolo (KENYA),2007-2013,15,15,3,345,56*,28.75,281,122.77,0,2,3,46,6
S Chanderpaul (WI),2006-2010,22,22,5,343,41,20.17,347,98.84,0,0,0,34,5
DM Bravo (WI),2010-2019,20,18,1,340,43*,20,317,107.25,0,0,3,28,13
JM Vince (ENG),2015-2019,12,12,0,340,59,28.33,275,123.63,0,1,0,34,9
A Symonds (AUS),2005-2009,14,11,4,337,85*,48.14,199,169.34,0,2,2,33,10
N Davin (NAM),2019-2019,16,16,1,335,54,22.33,216,155.09,0,1,1,33,15
SA Edwards (NL),2018-2019,29,22,8,334,42*,23.85,229,145.85,0,0,1,33,6
Asif Ali (PAK),2018-2019,25,24,6,331,41*,18.38,258,128.29,0,0,1,15,19
